"customer_unique_id","days_to_second_order"
"24cad6db9c734bd4f0edc6a314735880","0"
"24d27f115e367d9129a0e7a7a5d36866","17"
"24d9e83fe11e4390b69e1afb2b93f5ee","88"
"24fb2954f8c6cdb4b900ed8db6dc88e2","177"
"24fc2d6f4c3339820a1a3746a125f8c5","0"
"2516f43838c4892e066fec28143efa64","1"
"251e658613a224723f8a077946183b20","11"
"25314849bf706df0e00da89ccff9bdc3","0"
"255ac312f5ceb97163ec60f0db2eee11","43"
"256b3e7a939dddf3e40608cac69e88c7","0"
"257a0a891aa05c945617ad8f097645bd","0"
"2587f2fbf466ff9e409952f2feba0005","11"
"25a1ad8a564d758f233c587cc657aa4b","277"
"25a560b9a6006157838aab1bdbd68624","0"
"25bd804c580bc1ee0c93d073fae09a84","26"
"25c88b7eff936d6a6fed64142b760035","0"
"25cac425f64ae1b78c60c2afae3ec384","0"
"25f24493ded5ebebc26a69b5db344e35","105"
"25f3cf83109f636d52d288fa4e797111","0"
"2642f11f7c5588a63213b5e67e8ad0a7","5"
"26a6e3e036636ef1d5636f98b66094cc","144"
"26a9b95058d46f1e6a685688355a1cdb","0"
"26d1b63e9b8478f84f87188c4877049e","33"
"26e025af2347c3968f6a578f853a9da2","223"
"26f06401a5374fd3d26b6eed06af675f","0"
"270c0ad2a232e4a10be51000bc69eb03","47"
"271d3cdd872021b1b6669ad93e8b856b","0"
"27259fad9054fce994a70f1d117bc402","241"
"272f0ffe236b0bf765e14f5a2b577a6b","182"
"27517ed34c0406fe07b3a806e33cbc10","15"
"2767f1bba0529fe3f48378c05ea40f0f","280"
"27d59fe7ff2ed894f826fd4a7e5466ea","68"
"27e86d2ae0db33b8d242c9251067d97e","84"
"27eecff5a6338f7c36c78ad05eacc575","10"
"280c34dc057ff9f3cd17360673d4b87c","113"
"281e1e72207e518c29b249a1361a775d","80"
"282d49fddab8e95a8673a2a90072cf5c","391"
"282dc4abbf2759fb9bb77217f5cd6c4c","139"
"286d8f01f94a8061cef05c7c49efd8a9","76"
"2878289928927b75d078057c8d91405f","303"
"28989ef45087c96e5a4346e88216c2ba","0"
"289dcfbdf9ce2f94565a76800eb71157","0"
"28ad66c8baf13c85d2a936d0b06e73f6","266"
"28aea3e12549a3611bbd8d4e3310e4fa","15"
"28c7e3fb75d7ce1e496dc539443b71da","0"
"28cfa4471fab15695744e57ce3036694","0"
"28da99e178f274876e3052c1740c6c87","20"
"28dd1607a5e16ed5458919c2afca6476","0"
"291d020953194db1b8578ff8d9959c62","48"
"2947c03745112e23dced5a2ab3f8c568","0"
"294e0922aa06792eea5094656727c0bd","17"
"295c05e81917928d76245e842748184d","91"
"297ec5afd18366f5ba27520cc4954151","61"
"298c3e1a698283a45f1c94df3942bb3b","25"
"29d72fba272ad06ed0b2ac6351da042f","105"
"29f8e372b3b1d42ad2e00a0b976bfc34","257"
"2a17d0a71f5910d7207819f9ca9ec12b","221"
"2a34af7c4b1b83d78b14cf6b9c32c3b9","137"
"2a36404701b15c414647a2ec2102baba","265"
"2a3d4df1de5c9feee497328298916d41","29"
"2a3f4536e732a04cfad59b6e50c2e925","59"
